21,185.410000,/tb3_0,/tb3_1,11.2183,4.17004,-12.6804,4.17497,0.061777,1.54028,4.9698,0.061777
22,190.440000,/tb3_0,/tb3_1,4.39116,6.35649,-11.5085,-4.28834,0.197871,1.84154,3.73273,0.197871
23,191.390000,/tb3_0,/tb3_1,9.88481,4.83433,-13.6006,-0.848998,0.0532694,2.39617,0.353523,0.0532694
24,191.440000,/tb3_0,/tb3_1,9.88481,4.83433,-13.0516,1.05137,0.127835,1.57395,2.28598,0.127835
26,196.280000,/tb3_0,/tb3_1,8.65689,4.86374,-13.3812,-3.14615,0.0450243,1.40884,2.789,0.0450243
27,196.320000,/tb3_0,/tb3_1,8.65689,4.86374,-13.1544,-1.67925,0.14569,1.86982,0.476411,0.14569
29,214.910000,/tb3_0,/tb3_1,3.1547,1.9015,-14.6562,1.91672,-0.110336,1.30282,1.62598,0.110336
30,234.890000,/tb3_0,/tb3_1,-12.9683,2.52968,-15.4113,1.01499,-0.145129,1.0804,1.0904,0.145129
31,240.350000,/tb3_0,/tb3_1,-10.4613,5.68464,-13.4427,2.06962,0.11243,2.07595,2.37452,0.11243
34,245.040000,/tb3_0,/tb3_1,3.25206,0.449283,-13.0528,3.94166,0.134946,1.14865,4.45829,0.134946
35,245.070000,/tb3_0,/tb3_1,3.84958,5.93254,-13.718,-1.12256,0.00375251,1.28099,1.13818,0.00375251
42,300.070000,/tb3_0,/tb3_1,8.29129,-1.04548,-12.9367,1.51547,0.117289,1.97861,2.73653,0.117289
43,304.710000,/tb3_0,/tb3_1,9.50446,0.601063,-12.9384,-0.112428,0.144446,1.25,1.526,0.144446
45,387.780000,/tb3_0,/tb3_1,9.4493,4.93987,-13.3323,-1.29129,0.109817,2.43609,0.293745,0.109817
46,392.120000,/tb3_0,/tb3_1,9.90566,3.89686,-13.1729,-1.8152,0.129933,1.89591,0.612965,0.129933
48,395.010000,/tb3_0,/tb3_1,9.84923,3.08843,-13.1151,-2.06033,0.146306,2.02857,0.735381,0.146306
49,410.710000,/tb3_0,/tb3_1,7.57688,1.00429,-13.2414,0.860258,-0.0542023,1.43236,0.918666,0.0542023
50,410.830000,/tb3_0,/tb3_1,7.57688,1.00429,-14.2648,-1.36366,0.456899,1.10429,2.39268,0.456899
51,415.800000,/tb3_0,/tb3_1,6.47207,1.16792,-13.0896,-2.43426,0.105318,1.10092,1.91419,0.105318
52,415.850000,/tb3_0,/tb3_1,6.47207,1.16792,-12.6032,-3.62444,0.120202,1.23377,3.10248,0.120202
53,415.960000,/tb3_0,/tb3_1,6.47207,1.16792,-13.2684,0.209161,0.0581512,1.24352,0.87547,0.0581512
54,416.000000,/tb3_0,/tb3_1,6.47207,1.16792,-12.6026,3.53829,0.138196,1.55131,4.57223,0.138196
55,420.910000,/tb3_0,/tb3_1,6.05303,1.2243,-12.7171,-5.10369,0.230761,1.05042,3.84513,0.230761
56,420.960000,/tb3_0,/tb3_1,6.05303,1.2243,-12.5575,-4.61691,0.336089,1.7004,2.77876,0.336089
57,421.000000,/tb3_0,/tb3_1,6.05303,1.2243,-12.8611,2.70872,0.170703,1.67954,3.81352,0.170703
58,426.820000,/tb3_0,/tb3_1,7.40628,1.01213,-13.0814,0.979986,-0.0725512,1.47541,1.06756,0.0725512
59,426.880000,/tb3_0,/tb3_1,7.40628,1.01213,-14.237,-1.84599,0.541779,1.00279,2.57935,0.541779
60,426.960000,/tb3_0,/tb3_1,7.40628,1.01213,-14.1839,-1.18097,0.438551,1.49798,2.28428,0.438551
61,431.890000,/tb3_0,/tb3_1,8.7691,0.883782,-16.0317,-0.538434,0.297902,1.57459,3.33977,0.297902
62,476.080000,/tb3_0,/tb3_1,11.3597,-3.8912,-12.7166,5.21828,0.08839,1.39276,6.43391,0.08839
63,476.120000,/tb3_0,/tb3_1,11.9589,-2.23441,-13.1939,3.19407,0.114867,1.70124,4.68385,0.114867
64,480.220000,/tb3_0,/tb3_1,13.1248,1.23798,-13.2617,-1.32413,0.165219,1.04972,0.89176,0.165219
65,485.070000,/tb3_0,/tb3_1,13.1152,4.03986,-13.2262,-0.932697,-0.0881997,1.07735,2.36411,0.0881997
66,485.140000,/tb3_0,/tb3_1,13.7513,-0.393965,-13.4682,0.324003,0.146103,1.01639,2.37183,0.146103
67,485.270000,/tb3_0,/tb3_1,12.4453,8.58221,-13.5226,-4.41968,-0.169788,1.01604,6.87219,0.169788
68,490.040000,/tb3_0,/tb3_1,-0.631488,2.11221,-13.4648,1.4515,0.127497,1.26829,3.10628,0.127497
69,490.070000,/tb3_0,/tb3_1,12.7319,-0.607013,-13.505,0.155704,0.194014,1.31265,2.64822,0.194014
70,490.120000,/tb3_0,/tb3_1,12.3968,5.44267,-13.7437,-2.25273,-0.0930317,1.02894,3.5003,0.0930317
71,495.810000,/tb3_0,/tb3_1,10.8162,-1.42102,-13.0304,3.26188,0.0290362,1.11437,3.71537,0.0290362
74,505.070000,/tb3_0,/tb3_1,-2.74285,3.48713,-12.3738,5.46861,0.147291,1.06583,7.09692,0.147291
75,505.130000,/tb3_0,/tb3_1,-2.8277,3.41868,-13.406,0.5426,0.122718,1.97556,1.84399,0.122718
76,505.190000,/tb3_0,/tb3_1,10.4532,3.33752,-13.3283,-1.2345,0.0917607,1.31673,0.433694,0.0917607
77,505.860000,/tb3_0,/tb3_1,6.45256,-2.53152,-5.81827,-3.38112,1.5612,1.01828,7.05708,1.5612
78,509.990000,/tb3_0,/tb3_1,-4.20502,0.466231,-14.6199,-7.49387,-0.683929,1.09325,15.1923,0.683929
79,510.330000,/tb3_0,/tb3_1,8.12402,1.18882,-7.81681,-3.60516,0.793245,1.10184,3.43838,0.793245
80,510.830000,/tb3_0,/tb3_1,10.4482,3.34604,-12.238,-2.84404,0.253812,1.31886,0.672403,0.253812
85,532.900000,/tb3_0,/tb3_1,11.8763,-2.21408,-13.1143,-2.49514,0.268661,1.4922,1.28058,0.268661
86,542.590000,/tb3_0,/tb3_1,11.874,-2.22583,-13.0077,1.59403,0.0326253,1.79331,2.24746,0.0326253
87,542.630000,/tb3_0,/tb3_1,11.874,-2.22583,-12.8649,2.76589,0.00934973,1.73134,3.10032,0.00934973
88,542.670000,/tb3_0,/tb3_1,11.874,-2.22583,-12.6534,3.84181,-0.0133722,1.71598,3.91121,0.0133722
89,542.710000,/tb3_0,/tb3_1,11.874,-2.22583,-12.4433,4.21973,0.00641533,1.60804,4.57411,0.00641533
90,542.750000,/tb3_0,/tb3_1,11.874,-2.22583,-12.0137,4.97636,0.0305845,1.2285,5.72004,0.0305845
91,542.780000,/tb3_0,/tb3_1,11.874,-2.22583,-12.2895,5.90327,-0.0355418,1.9598,5.71818,0.0355418
94,555.190000,/tb3_0,/tb3_1,-2.12061,2.51707,-13.4622,1.32605,0.131602,2.00675,2.8286,0.131602
95,555.250000,/tb3_0,/tb3_1,11.1998,-0.605781,-13.4845,0.304225,0.225412,1.35647,2.84664,0.225412
96,556.120000,/tb3_0,/tb3_1,10.9093,-0.0748068,-13.3248,1.60268,0.0631998,1.82979,2.38447,0.0631998
98,562.910000,/tb3_0,/tb3_1,11.8744,-2.22517,-13.131,-1.01047,0.0387789,1.6242,1.09375,0.0387789
99,562.940000,/tb3_0,/tb3_1,11.8744,-2.22517,-13.0137,2.99708,-0.103126,1.63823,1.91665,0.103126
100,562.970000,/tb3_0,/tb3_1,11.8744,-2.22517,-13.0216,2.48305,-0.0585795,1.8543,1.97366,0.0585795
101,563.000000,/tb3_0,/tb3_1,11.8744,-2.22517,-12.8373,3.67868,-0.0707929,1.88202,3.00699,0.0707929
102,563.040000,/tb3_0,/tb3_1,11.8744,-2.22517,-12.8628,1.28686,0.0881641,1.69761,2.67151,0.0881641
103,563.070000,/tb3_0,/tb3_1,11.8744,-2.22517,-13.2477,1.86957,0.0332222,1.8732,2.40896,0.0332222
104,563.370000,/tb3_0,/tb3_1,11.8744,-2.22517,9.91794,1.62471,3.14094,1.22172,6.08515,3.14094
105,565.790000,/tb3_0,/tb3_1,-2.93354,3.40091,-13.2689,2.1461,0.107707,1.51639,3.298,0.107707
106,565.840000,/tb3_0,/tb3_1,10.2404,4.7046,-13.8861,-0.749296,-0.0852908,1.40299,1.7069,0.0852908
107,566.200000,/tb3_0,/tb3_1,7.9423,1.6215,-10.2148,-1.135,0.343389,1.07303,3.12889,0.343389
109,566.740000,/tb3_0,/tb3_1,7.97073,-5.22554,-11.9102,-0.983325,1.01909,1.05058,8.73464,1.01909
111,570.860000,/tb3_0,/tb3_1,10.2361,0.820336,-13.4263,1.46321,0.076187,1.28155,2.29112,0.076187
112,570.900000,/tb3_0,/tb3_1,9.98641,5.90924,-13.9445,-1.51853,-0.128687,1.40762,2.94133,0.128687
113,571.220000,/tb3_0,/tb3_1,7.92558,1.78121,-10.0555,-1.42427,0.363765,1.14243,3.07115,0.363765
115,573.510000,/tb3_0,/tb3_1,11.8927,-2.14545,-13.1732,-2.1665,0.116452,1.54799,1.25868,0.116452
116,573.530000,/tb3_0,/tb3_1,11.8927,-2.14545,-13.1794,-1.70306,0.120408,1.92568,1.02543,0.120408
117,573.530000,/tb3_0,/tb3_1,11.8927,-2.14545,-13.1656,-1.20192,0.123366,1.71687,1.04564,0.123366
118,573.610000,/tb3_0,/tb3_1,11.8927,-2.14545,-13.109,-0.4215,0.126453,1.63265,1.52902,0.126453
119,573.640000,/tb3_0,/tb3_1,11.8927,-2.14545,-12.9126,1.15259,0.120692,1.51899,2.88894,0.120692
120,573.660000,/tb3_0,/tb3_1,11.8927,-2.14545,-13.2046,-2.14666,0.22512,1.70732,1.12485,0.22512
121,573.740000,/tb3_0,/tb3_1,11.8927,-2.14545,-11.9267,3.42354,0.187171,1.33929,6.10931,0.187171
122,573.990000,/tb3_0,/tb3_1,11.8927,-2.14545,9.68828,2.07559,-2.9123,1.05932,3.61768,2.9123
123,576.550000,/tb3_0,/tb3_1,10.2528,0.969135,-13.4501,1.40157,0.0676514,1.38298,2.14261,0.0676514
124,576.600000,/tb3_0,/tb3_1,10.386,2.31462,-13.4391,-0.123679,0.0847285,1.44695,0.8157,0.0847285
125,576.940000,/tb3_0,/tb3_1,7.71852,1.13869,-9.87953,-1.10984,0.417628,1.10791,3.55934,0.417628
126,577.260000,/tb3_0,/tb3_1,5.62545,-3.66038,-6.82636,-2.64032,1.59203,1.07287,8.43064,1.59203
127,577.490000,/tb3_0,/tb3_1,8.11844,-5.11383,-11.8076,-1.3483,1.03967,1.04348,8.57746,1.03967
129,581.670000,/tb3_0,/tb3_1,10.2436,0.918057,-13.4165,1.28061,0.084322,1.73038,2.19105,0.084322
130,581.730000,/tb3_0,/tb3_1,10.3691,2.95801,-13.4619,-0.509761,0.0593565,1.50171,0.358596,0.0593565
131,582.090000,/tb3_0,/tb3_1,7.9573,2.48425,-10.0419,-1.82602,0.323391,1.16176,2.81524,0.323391
133,587.890000,/tb3_0,/tb3_1,-2.98624,3.34646,-13.4275,1.04408,0.0946849,1.70259,2.05667,0.0946849
134,587.940000,/tb3_0,/tb3_1,10.3968,2.77756,-13.4068,-0.617625,0.0866369,1.57191,0.415088,0.0866369
135,588.290000,/tb3_0,/tb3_1,7.75491,1.39623,-9.76515,-1.43983,0.427999,1.01669,3.3866,0.427999
137,600.000000,/tb3_0,/tb3_1,10.4894,2.3801,-13.1373,-1.30728,0.192479,1.60714,0.689265,0.192479
138,600.050000,/tb3_0,/tb3_1,10.4794,3.89011,-12.8421,-2.78195,0.1919,1.1811,0.883459,0.1919
139,600.370000,/tb3_0,/tb3_1,7.83169,2.68997,-8.79584,-3.15597,0.513718,1.00275,2.89208,0.513718
140,600.890000,/tb3_0,/tb3_1,10.0719,2.31064,-12.8662,-0.864948,0.161525,1.51436,0.961054,0.161525
143,623.240000,/tb3_0,/tb3_1,11.3134,1.21393,-11.7562,-7.07249,0.305564,1.06599,3.96393,0.305564
144,623.290000,/tb3_0,/tb3_1,11.3134,1.21393,-12.4494,-4.21716,0.247581,1.03093,1.73791,0.247581
145,623.350000,/tb3_0,/tb3_1,11.3134,1.21393,-13.1344,7.40523,-0.318396,1.23506,3.86243,0.318396
146,623.400000,/tb3_0,/tb3_1,11.3134,1.21393,-13.1065,-3.31763,0.114743,1.14058,2.14121,0.114743
147,623.460000,/tb3_0,/tb3_1,11.3134,1.21393,-13.2513,-1.91243,0.162564,1.47482,0.414665,0.162564
148,623.510000,/tb3_0,/tb3_1,11.3134,1.21393,-12.6361,1.45825,0.225339,1.01045,4.03681,0.225339
149,623.660000,/tb3_0,/tb3_1,11.3134,1.21393,-13.3207,-1.03887,0.0980123,1.8319,0.510016,0.0980123
150,623.720000,/tb3_0,/tb3_1,11.3134,1.21393,-13.4507,-1.46655,0.0737472,1.11475,0.767432,0.0737472
151,623.770000,/tb3_0,/tb3_1,11.3134,1.21393,-13.4633,-1.21697,0.0826345,1.21311,0.490803,0.0826345
152,623.830000,/tb3_0,/tb3_1,11.3134,1.21393,-13.4046,-1.23403,0.0864219,1.0828,0.519387,0.0864219
153,623.870000,/tb3_0,/tb3_1,11.3134,1.21393,-13.0478,-4.33845,0.229695,1.29518,1.83402,0.229695
154,623.910000,/tb3_0,/tb3_1,11.3134,1.21393,-13.4947,1.34791,-0.00303928,1.43312,1.40867,0.00303928
155,623.990000,/tb3_0,/tb3_1,11.3134,1.21393,-13.0615,-1.34944,0.228162,1.31757,1.235,0.228162
156,632.240000,/tb3_0,/tb3_1,11.4302,1.19644,-13.0305,-2.90522,0.174741,1.33829,1.10528,0.174741
157,632.290000,/tb3_0,/tb3_1,11.4302,1.19644,-13.0864,-3.37755,0.120942,1.09694,2.12118,0.120942
158,632.350000,/tb3_0,/tb3_1,11.4302,1.19644,-13.3088,-1.15651,0.133456,1.15625,0.557127,0.133456
159,632.400000,/tb3_0,/tb3_1,11.4302,1.19644,-12.407,1.1561,0.238426,1.14865,3.9472,0.238426
160,632.530000,/tb3_0,/tb3_1,11.4302,1.19644,-13.2477,-1.57307,0.125416,1.65919,0.535106,0.125416
161,632.600000,/tb3_0,/tb3_1,11.4302,1.19644,-13.4734,-0.866897,0.0717284,1.17438,0.414634,0.0717284
162,632.660000,/tb3_0,/tb3_1,11.4302,1.19644,-12.8422,-4.26491,0.219988,1.17057,1.90371,0.219988
163,632.700000,/tb3_0,/tb3_1,11.4302,1.19644,-13.2173,-2.60431,0.157992,1.07256,0.937086,0.157992
164,632.740000,/tb3_0,/tb3_1,11.4302,1.19644,-13.451,4.15727,-0.117794,1.20482,2.87131,0.117794
165,632.800000,/tb3_0,/tb3_1,11.4302,1.19644,-13.0806,0.331522,0.158116,1.17834,2.19665,0.158116
166,639.560000,/tb3_0,/tb3_1,11.5058,1.18625,-13.2836,-1.37714,0.092755,1.55894,0.640763,0.092755
167,639.600000,/tb3_0,/tb3_1,11.5058,1.18625,-13.0762,8.18422,-0.399988,1.13372,3.64157,0.399988
168,639.670000,/tb3_0,/tb3_1,11.5058,1.18625,-13.4575,-1.41779,0.138472,1.14458,0.312177,0.138472
169,639.810000,/tb3_0,/tb3_1,11.5058,1.18625,-13.2301,-1.73354,0.125111,1.69043,0.6142,0.125111
170,639.910000,/tb3_0,/tb3_1,11.5058,1.18625,-12.6678,-5.13135,0.250784,1.05634,2.41041,0.250784
171,639.960000,/tb3_0,/tb3_1,11.5058,1.18625,-13.5173,0.275254,0.0288156,1.25436,0.751289,0.0288156
172,640.000000,/tb3_0,/tb3_1,11.5058,1.18625,-13.4468,-0.632205,0.078429,1.35762,0.501116,0.078429
173,640.060000,/tb3_0,/tb3_1,11.5058,1.18625,-12.8681,-1.9549,0.249251,1.11498,0.975111,0.249251
174,648.360000,/tb3_0,/tb3_1,12.2427,1.10297,-13.0651,-3.96763,0.0993617,1.22563,2.86275,0.0993617
175,648.400000,/tb3_0,/tb3_1,12.2427,1.10297,-13.1904,-2.87631,0.126988,1.44262,1.45183,0.126988
176,648.460000,/tb3_0,/tb3_1,12.2427,1.10297,-12.9939,-3.58035,0.154747,1.51648,1.84071,0.154747
177,648.510000,/tb3_0,/tb3_1,12.2427,1.10297,-12.4793,-6.45967,0.211943,1.14286,4.03854,0.211943
178,648.700000,/tb3_0,/tb3_1,12.2427,1.10297,-13.1411,-2.52176,0.119986,1.23167,1.2413,0.119986
183,654.030000,/tb3_0,/tb3_1,12.0615,-0.580332,-13.2644,2.24747,0.101638,1.63445,3.55059,0.101638
184,654.080000,/tb3_0,/tb3_1,11.657,-1.85715,-12.9596,3.98671,0.0652781,1.67053,4.88517,0.0652781
185,656.480000,/tb3_0,/tb3_1,12.7569,0.914934,9.99504,2.78562,-2.84367,1.03226,2.83338,2.84367
186,656.750000,/tb3_0,/tb3_1,12.7569,0.914934,-14.0825,-0.292919,0.311418,1.11842,3.70296,0.311418
187,660.040000,/tb3_0,/tb3_1,11.7573,1.26808,-13.5195,1.64068,0.013246,1.54362,1.85494,0.013246
188,660.090000,/tb3_0,/tb3_1,11.8474,2.31384,-13.5883,0.558482,0.0162378,1.50655,0.837926,0.0162378
189,660.140000,/tb3_0,/tb3_1,11.2354,-0.709817,-13.0272,2.57474,0.106601,1.3783,3.9005,0.106601
190,660.260000,/tb3_0,/tb3_1,11.4736,6.26733,-13.2121,-3.27846,0.00659386,1.20075,3.28874,0.00659386
191,660.310000,/tb3_0,/tb3_1,11.8082,4.19688,-13.5204,-1.31864,0.0158088,1.93617,1.20504,0.0158088
192,661.230000,/tb3_0,/tb3_1,11.2462,-0.753185,-13.0512,2.99034,0.0734422,1.07438,3.9398,0.0734422
193,661.300000,/tb3_0,/tb3_1,11.1645,-0.779422,-12.9713,2.96302,0.0787569,1.09023,3.98607,0.0787569
194,666.880000,/tb3_0,/tb3_1,-1.57814,3.34605,-13.1864,-0.651308,0.0700822,99,27.4192,0.0700822
195,668.510000,/tb3_0,/tb3_1,11.6664,0.547846,-13.3988,1.61647,0.0903671,1.02612,2.71428,0.0903671
196,668.560000,/tb3_0,/tb3_1,11.7826,1.23297,-13.3121,0.299604,0.144371,1.84211,2.01955,0.144371
197,668.610000,/tb3_0,/tb3_1,11.9165,2.86567,-13.3608,-0.937747,0.109663,1.56542,0.431819,0.109663
198,668.660000,/tb3_0,/tb3_1,11.8225,1.9606,-13.4633,0.338926,0.0780099,1.69713,1.30168,0.0780099
199,668.790000,/tb3_0,/tb3_1,11.3461,6.71193,-12.4043,-4.6563,0.105671,1.3834,3.59289,0.105671
200,668.840000,/tb3_0,/tb3_1,11.7063,4.92504,-13.0058,-2.81702,0.0966692,1.61058,1.77202,0.0966692
201,668.890000,/tb3_0,/tb3_1,11.2266,-2.3456,-11.6761,-2.66574,0.744346,1.01828,5.64005,0.744346
202,674.180000,/tb3_0,/tb3_1,11.5845,0.21976,-13.366,1.99373,0.0799294,1.32039,2.97497,0.0799294
203,674.230000,/tb3_0,/tb3_1,11.8066,1.48364,-13.4342,0.477268,0.10048,1.68784,1.69228,0.10048
204,674.290000,/tb3_0,/tb3_1,11.8386,2.52291,-13.3616,-0.560676,0.100541,1.82519,0.695653,0.100541
205,674.350000,/tb3_0,/tb3_1,11.8263,2.21837,-13.5722,0.483897,0.0369604,1.56658,0.979451,0.0369604
206,674.500000,/tb3_0,/tb3_1,-1.78519,3.16694,-12.8649,-4.83252,0.0161207,1.26482,4.76162,0.0161207
207,674.540000,/tb3_0,/tb3_1,11.7125,4.31726,-13.0445,-2.35693,0.102647,1.67082,1.26295,0.102647
209,678.160000,/tb3_0,/tb3_1,12.4436,1.55088,-12.2171,-6.50522,0.153387,1.20921,4.82955,0.153387
210,678.200000,/tb3_0,/tb3_1,12.4436,1.55088,-12.9704,-3.90003,0.105282,1.54242,2.72053,0.105282
211,678.250000,/tb3_0,/tb3_1,12.4436,1.55088,-13.1062,-3.77721,0.0958929,1.66929,2.68266,0.0958929
212,678.390000,/tb3_0,/tb3_1,12.4436,1.55088,-1.8627,-11.1579,1.48053,1.03448,0.750087,1.48053
213,678.510000,/tb3_0,/tb3_1,12.4436,1.55088,-13.3701,-2.52105,0.0572027,1.09589,1.88553,0.0572027
214,692.830000,/tb3_0,/tb3_1,8.77167,0.940396,-16.2883,-1.13594,0.360777,1.46104,3.70857,0.360777
215,692.890000,/tb3_0,/tb3_1,8.77167,0.940396,-16.1511,-0.263327,0.257548,1.16883,3.30832,0.257548
216,699.850000,/tb3_0,/tb3_1,7.4077,1.0502,-13.103,1.4596,-0.141769,1.40992,1.05111,0.141769
217,699.890000,/tb3_0,/tb3_1,7.4077,1.0502,-14.0068,2.21052,-0.21087,1.16883,0.638621,0.21087
218,699.970000,/tb3_0,/tb3_1,7.4077,1.0502,-14.5311,-1.46653,0.472561,1.14883,2.55352,0.472561
219,700.020000,/tb3_0,/tb3_1,7.4077,1.0502,-15.8001,1.39598,0.0489465,1.1041,2.55898,0.0489465
220,700.060000,/tb3_0,/tb3_1,7.4077,1.0502,-14.4373,-0.77322,0.369332,1.47773,2.25409,0.369332
224,704.930000,/tb3_0,/tb3_1,11.4619,4.29704,-10.4483,-5.4545,0.427198,1.18252,1.31963,0.427198
226,707.030000,/tb3_0,/tb3_1,5.5543,1.48072,-12.3986,3.72374,0.174799,1.2931,4.83402,0.174799
227,707.070000,/tb3_0,/tb3_1,5.5543,1.48072,-11.6338,4.4386,0.261251,1.23711,6.09343,0.261251
228,707.250000,/tb3_0,/tb3_1,5.5543,1.48072,-12.4961,3.31599,0.196414,1.04603,4.50973,0.196414
229,711.010000,/tb3_0,/tb3_1,4.73771,1.90791,-13.0234,3.53754,0.0378545,2.3375,3.82316,0.0378545
230,711.050000,/tb3_0,/tb3_1,4.73771,1.90791,-12.3306,-5.57976,0.0885677,1.81172,5.37649,0.0885677
231,711.090000,/tb3_0,/tb3_1,4.73771,1.90791,-12.4551,-4.9936,0.189792,1.53082,4.27788,0.189792
232,711.130000,/tb3_0,/tb3_1,4.73771,1.90791,-13.3838,0.519568,0.132108,1.59555,1.17256,0.132108
233,711.180000,/tb3_0,/tb3_1,4.73771,1.90791,-13.0921,-2.09675,0.166409,2.3201,1.43817,0.166409
234,711.320000,/tb3_0,/tb3_1,4.73771,1.90791,-12.5863,-5.03472,0.0575656,1.02326,4.93842,0.0575656
235,719.090000,/tb3_0,/tb3_1,8.50888,-1.14944,-13.208,1.72821,0.105125,2.05056,2.76635,0.105125
237,747.600000,/tb3_0,/tb3_1,5.47279,1.66315,-12.4716,3.59219,0.18416,1.33106,4.7043,0.18416
238,747.660000,/tb3_0,/tb3_1,5.47279,1.66315,-11.1919,-0.853531,0.636874,1.23167,2.2051,0.636874
244,778.660000,/tb3_0,/tb3_1,3.47758,4.98218,-13.3991,-2.29202,0.0854895,1.16564,2.01985,0.0854895
245,778.680000,/tb3_0,/tb3_1,3.47758,4.98218,-13.0929,1.39707,0.138235,1.18393,1.83831,0.138235
246,778.730000,/tb3_0,/tb3_1,3.47758,4.98218,-13.4038,0.161068,0.110872,1.85328,0.515792,0.110872
247,779.520000,/tb3_0,/tb3_1,3.47758,4.98218,-13.0564,-3.56635,0.0794637,1.04317,3.34937,0.0794637
248,785.180000,/tb3_0,/tb3_1,2.65474,3.39567,-13.41,0.643683,0.083905,1.05572,0.904074,0.083905
252,822.710000,/tb3_0,/tb3_1,2.98747,6.16526,-13.1418,3.07158,0.0803521,1.18156,3.31043,0.0803521
253,827.270000,/tb3_0,/tb3_1,2.99699,6.16836,-12.8343,0.360362,0.180693,1.1326,0.798574,0.180693
255,832.460000,/tb3_0,/tb3_1,2.98137,6.17855,-13.0296,0.0325762,0.154919,1.52738,0.419024,0.154919
256,832.490000,/tb3_0,/tb3_1,2.98137,6.17855,-12.0356,4.93426,0.14968,1.08173,5.40492,0.14968
258,835.540000,/tb3_0,/tb3_1,0.281671,-0.100213,-13.3031,2.89324,0.0690107,1.2,2.99657,0.0690107
259,837.980000,/tb3_0,/tb3_1,2.98016,6.18514,-13.2698,-0.325132,0.119563,1.57143,0.0319989,0.119563
260,838.000000,/tb3_0,/tb3_1,2.98016,6.18514,-12.426,3.945,0.146313,1.00467,4.36068,0.146313
261,838.770000,/tb3_0,/tb3_1,2.98016,6.18514,-6.70357,-4.10562,1.18581,1.03774,5.21438,1.18581
262,842.890000,/tb3_0,/tb3_1,0.159256,4.11463,-13.0744,-3.05134,0.0434373,1.2406,3.13845,0.0434373
263,842.930000,/tb3_0,/tb3_1,0.11925,3.34034,-12.9597,-2.27345,0.0758546,1.35135,2.40629,0.0758546
264,842.960000,/tb3_0,/tb3_1,-0.660012,6.54914,-11.523,-5.32577,0.140552,1.46444,5.70209,0.140552
265,844.980000,/tb3_0,/tb3_1,2.95892,6.19972,-13.2096,-2.9562,0.102724,1.03846,2.68907,0.102724
266,845.010000,/tb3_0,/tb3_1,2.95892,6.19972,-12.7905,0.0569803,0.194592,1.3649,0.514115,0.194592
267,845.030000,/tb3_0,/tb3_1,2.95892,6.19972,-13.0858,-0.87567,0.15187,1.2628,0.502719,0.15187
268,845.570000,/tb3_0,/tb3_1,2.95892,6.19972,-7.26867,-4.27253,0.985286,1.32948,4.58639,0.985286
269,850.220000,/tb3_0,/tb3_1,2.95206,6.20055,-12.4309,-4.71254,0.153495,1.34783,4.37359,0.153495
270,850.250000,/tb3_0,/tb3_1,2.95206,6.20055,-13.1004,0.341905,0.144583,1.25828,0.70297,0.144583
272,855.190000,/tb3_0,/tb3_1,2.9433,6.20354,-11.6912,-4.20667,0.276822,1.07296,3.67282,0.276822
274,859.130000,/tb3_0,/tb3_1,2.96967,6.19816,-12.5664,-1.89265,0.217524,1.00372,1.39806,0.217524
285,895.330000,/tb3_0,/tb3_1,2.95038,6.20247,-13.5503,-0.570598,0.0892768,1.06599,0.351591,0.0892768
